name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percentage,discount_percentage_original
"Gits Open & Eat Rasgulla Tin, 16 Pieces per Can, Mouth-Watering Indian Mithai, 1Kg",All Grocery & Gourmet Foods,3.8,1177,210.0,220.0,4.5,4.545454545454546
True Elements Antioxidant Seeds Mix 250g - Seeds for Eating | Diet Snacks | Roasted Mix Seeds,All Grocery & Gourmet Foods,4.3,1733,269.0,295.0,8.8,8.813559322033898
SFT Sunflower Seeds 1 Kg,All Grocery & Gourmet Foods,4.1,3410,382.0,465.0,17.8,17.8494623655914
"The Laughing Cow Creamy Cheese Triangles | 5 Essential Vitamins, Mineral & Protein | Goodness of Cow's Milk | 24 Creamy Ch...",All Grocery & Gourmet Foods,4.5,322,364.0,405.0,10.1,10.123456790123457
"LAZXS Lavazza Gusto Crema, Roasted Coffee Beans, 500g, Bag",All Grocery & Gourmet Foods,4.2,1092,425.0,500.0,15.0,15.0
Lotus Biscoff Cookies - Caramelized Biscuit Cookie - 1P x 25 Cookies Individually Wrapped - 156 Gram - Non-GMO Project Ver...,All Grocery & Gourmet Foods,4.2,1045,249.0,279.0,10.8,10.75268817204301
Horlicks Health and Nutrition drink - 500 g Pet Jar (Chocolate flavor),All Grocery & Gourmet Foods,4.3,2751,248.0,249.0,0.4,0.4016064257028112
"Haldiram’s Kesar Gujia Desi Ghee Bag, 400 g",All Grocery & Gourmet Foods,3.7,652,354.0,545.0,35.0,35.04587155963303
"Haldiram's Nagpur Bhel Puri, 150g",All Grocery & Gourmet Foods,4.4,522,50.0,55.0,9.1,9.090909090909092
Safe Harvest Pesticide-Free Goodness Mung Dal | Natural & Delicious | No Artificial Flavors - 1kg,All Grocery & Gourmet Foods,4.4,103,144.0,240.0,40.0,40.0
"Saffola Masala Oats, Classic Masala, 39g",All Grocery & Gourmet Foods,4.4,338,14.14,15.0,5.7,5.73333333333333
"Lindt Lindor Assorted Chocolate Truffles Box, 200g",All Grocery & Gourmet Foods,3.5,22,559.0,800.0,30.1,30.125
"NESTLE GOLD Crunchy Oats & Corn Flakes, Crunchy Oats and Corn Flakes Breakfast Cereal with Immuno-Nutrients | Made with Wh...",All Grocery & Gourmet Foods,4.4,1423,316.0,370.0,14.6,14.594594594594595
"RiteBite Max Protein Daily Choco Almond 10g Protein Bars [Pack of 24] Protein Blend, Fiber, Vitamins & Minerals , No Prese...",All Grocery & Gourmet Foods,4.4,1237,1394.0,1680.0,17.0,17.023809523809526
"More Choice Tamarind, 200g",All Grocery & Gourmet Foods,4.2,674,199.0,249.0,20.1,20.080321285140563
Flyberry Gourmet Medjoul/Mejdool Dates 1kg | Jumbo Size | Mejdool Khajur | Alternative to Sugar | Best For Kids & Adults |...,All Grocery & Gourmet Foods,4.3,809,1999.0,2599.0,23.1,23.08580223162755
